"TreeID","PlotID","East","North","Elev","Lon","Lat","Alt","Pdop","HRMS","VRMS","Species","Circumference","DBH","Kraft","Date","Observer","geometry"
52,"LW18",350061.75,5775836.18,NA,6.81028645,52.11271184,NA,0.83,0.47,0.62,"Betula pendula",0.15,0.048,5,2024-11-13,"Studienprojekt2024",c(350061.75, 5775836.18)
53,"LW18",350062.74,5775842.49,NA,6.81029816,52.11276877,NA,0.83,0.57,0.74,"Pinus sylvestris",1.065,0.339,1,2024-11-13,"Studienprojekt2024",c(350062.74, 5775842.49)
54,"LW18",350062.69,5775844.8,NA,6.81029649,52.11278948,NA,0.79,0.49,0.68,"Picea abies",0.28,0.089,4,2024-11-13,"Studienprojekt2024",c(350062.69, 5775844.8)
55,"LW18",350056.3,5775843,NA,6.81020391,52.11277161,NA,0.81,0.52,0.74,"Betula pendula",0.205,0.065,4,2024-11-13,"Studienprojekt2024",c(350056.3, 5775843)
56,"LW18",350056.01,5775842.23,NA,6.81020003,52.11276458,NA,0.81,0.61,0.89,"Betula pendula",0.2,0.064,4,2024-11-13,"Studienprojekt2024",c(350056.01, 5775842.23)
57,"LW18",350054.98,5775843.16,NA,6.81018459,52.11277272,NA,0.81,0.64,0.92,"Betula pendula",0.16,0.051,4,2024-11-13,"Studienprojekt2024",c(350054.98, 5775843.16)
58,"LW18",350051.06,5775842.41,NA,6.81012774,52.1127649,NA,0.82,0.71,0.97,"Pinus sylvestris",1.315,0.419,1,2024-11-13,"Studienprojekt2024",c(350051.06, 5775842.41)
59,"LW18",350052.77,5775844.66,NA,6.81015175,52.11278553,NA,0.81,0.7,0.93,"Betula pendula",0.16,0.051,4,2024-11-13,"Studienprojekt2024",c(350052.77, 5775844.66)
60,"LW18",350049.22,5775846.02,NA,6.81009936,52.11279686,NA,0.79,0.6,0.86,"Betula pendula",0.165,0.053,4,2024-11-13,"Studienprojekt2024",c(350049.22, 5775846.02)
61,"LW18",350043.27,5775847.53,NA,6.81001184,52.11280881,NA,0.78,1,1.2,"Pinus sylvestris",1.155,0.368,1,2024-11-13,"Studienprojekt2024",c(350043.27, 5775847.53)
62,"LW18",350044.11,5775839.62,NA,6.81002758,52.11273795,NA,0.78,0.6,0.76,"Pinus sylvestris",1.135,0.361,1,2024-11-13,"Studienprojekt2024",c(350044.11, 5775839.62)
63,"LW18",350041.51,5775832.44,NA,6.80999274,52.1126727,NA,0.78,0.68,0.82,"Pinus sylvestris",1.03,0.328,1,2024-11-13,"Studienprojekt2024",c(350041.51, 5775832.44)
64,"LW18",350041.33,5775830.07,NA,6.80999128,52.11265141,NA,0.77,0.87,1,"Betula pendula",0.18,0.057,4,2024-11-13,"Studienprojekt2024",c(350041.33, 5775830.07)
65,"LW18",350043.48,5775830,NA,6.81002257,52.11265136,NA,0.8,0.85,1.1,"Betula pendula",0.165,0.053,4,2024-11-13,"Studienprojekt2024",c(350043.48, 5775830)
66,"LW18",350046.35,5775832.93,NA,6.81006328,52.11267848,NA,0.82,0.5,0.68,"Betula pendula",0.23,0.073,4,2024-11-13,"Studienprojekt2024",c(350046.35, 5775832.93)
67,"LW18",350044.35,5775827.3,NA,6.81003656,52.1126273,NA,0.82,0.61,0.86,"Pinus sylvestris",1.56,0.497,1,2024-11-13,"Studienprojekt2024",c(350044.35, 5775827.3)
68,"LW18",350049.61,5775828.89,NA,6.8101125,52.11264303,NA,0.82,0.67,0.97,"Sorbus aucuparia",0.235,0.075,4,2024-11-13,"Studienprojekt2024",c(350049.61, 5775828.89)
69,"LW18",350050.53,5775830.34,NA,6.81012533,52.11265633,NA,0.8,0.63,0.82,"Betula pendula",0.23,0.073,4,2024-11-13,"Studienprojekt2024",c(350050.53, 5775830.34)
70,"LW18",350050.63,5775831.67,NA,6.81012623,52.11266829,NA,0.8,0.61,0.78,"Betula pendula",0.235,0.075,4,2024-11-13,"Studienprojekt2024",c(350050.63, 5775831.67)
71,"LW18",350051.33,5775833.02,NA,6.81013586,52.11268064,NA,0.8,0.6,0.82,"Pinus sylvestris",1,0.318,2,2024-11-13,"Studienprojekt2024",c(350051.33, 5775833.02)
72,"LW18",350051.84,5775836.11,NA,6.81014195,52.11270848,NA,0.8,0.57,0.77,"Betula pendula",0.195,0.062,4,2024-11-13,"Studienprojekt2024",c(350051.84, 5775836.11)
73,"LW18",350051.08,5775823.11,NA,6.81013662,52.1125915,NA,0.79,0.48,0.64,"Betula pendula",0.16,0.051,4,2024-11-13,"Studienprojekt2024",c(350051.08, 5775823.11)
74,"LW18",350052.11,5775815.01,NA,6.81015516,52.112519,NA,0.79,0.51,0.58,"Betula pendula",0.41,0.131,3,2024-11-13,"Studienprojekt2024",c(350052.11, 5775815.01)
75,"LW18",350053.21,5775814.94,NA,6.81017127,52.1125187,NA,0.79,0.49,0.59,"Betula pendula",0.24,0.076,4,2024-11-13,"Studienprojekt2024",c(350053.21, 5775814.94)
76,"LW18",350055.46,5775813.54,NA,6.81020464,52.11250673,NA,0.79,0.45,0.61,"Betula pendula",0.205,0.065,4,2024-11-13,"Studienprojekt2024",c(350055.46, 5775813.54)
77,"LW18",350049.95,5775812.89,NA,6.81012454,52.11249938,NA,0.81,0.57,0.72,"Pinus sylvestris",1.12,0.357,1,2024-11-13,"Studienprojekt2024",c(350049.95, 5775812.89)
78,"LW18",350050.57,5775808.51,NA,6.8101356,52.11246015,NA,0.86,0.69,0.91,"Pinus sylvestris",1.56,0.497,1,2024-11-13,"Studienprojekt2024",c(350050.57, 5775808.51)
79,"LW18",350055.32,5775811.33,NA,6.81020362,52.11248684,NA,0.85,0.59,0.86,"Pinus sylvestris",0.985,0.314,2,2024-11-13,"Studienprojekt2024",c(350055.32, 5775811.33)
80,"LW18",350064.33,5775812.24,NA,6.81033463,52.11249745,NA,0.84,0.5,0.67,"Pinus sylvestris",1.15,0.366,1,2024-11-13,"Studienprojekt2024",c(350064.33, 5775812.24)
81,"LW18",350065.82,5775828.25,NA,6.81034938,52.11264171,NA,0.87,0.47,0.63,"Pinus sylvestris",0.84,0.267,2,2024-11-13,"Studienprojekt2024",c(350065.82, 5775828.25)
82,"LW18",350068.18,5775826.41,NA,6.8103846,52.11262574,NA,0.88,0.52,0.77,"Betula pendula",0.275,0.088,4,2024-11-13,"Studienprojekt2024",c(350068.18, 5775826.41)
83,"LW18",350068.76,5775825.92,NA,6.81039335,52.1126215,NA,0.88,0.68,0.92,"Pinus sylvestris",1.27,0.404,1,2024-11-13,"Studienprojekt2024",c(350068.76, 5775825.92)
